state,year,fallow_other_than_current,current_fallow,total_fallow,net_area_sown,gross_cropped_area,area_sown_more_than_once,agricultural_land,cultivated_land,uncultivable_land,uncultivated_land,cropping_intensity,double_cropped_share,fallow_share,current_fallow_share,cultivated_land_share,uncultivated_share,net_area_sown_change,gross_cropped_area_change,agricultural_land_change,cultivated_land_change,fallow_change,net_area_sown_delta,gross_cropped_area_delta,agricultural_land_delta,cultivated_land_delta,fallow_delta,agricultural_land_from_baseline,net_area_sown_from_baseline,fallow_from_baseline,agricultural_land_3yr_mean,fallow_3yr_mean,cropping_intensity_3yr_mean,conflict_count,people_affected,conflict_land_area_ha,conflict_observed,conflict_next_period,target_available
Odisha,2016,685.0,1085.0,1770.0,4099.0,4884.0,785.0,6690.0,5184.0,9254.0,10760.0,1.1915101244202997,0.1915101244205436,0.2645739910313505,0.162182361733907,0.7748878923765657,1.6083707025408656,-0.023582658408766,0.0168644597126794,0.006317689530686,-0.0080367393800229,0.0516934046345811,-99.0,81.0,42.0,-42.0,87.0,0.0063176895306849,-0.0235826584087604,0.0516934046345503,6669.0,1726.5,1.1678131851256874,0.0,0.0,0.0,False,,False
Odisha,2017,777.0,1216.0,1993.0,3863.0,4502.0,639.0,6745.0,5079.0,8679.0,10345.0,1.1654154801964367,0.1654154801966954,0.2954781319495485,0.1802816901408183,0.7530022238694213,1.533728687916748,-0.0575750182971456,-0.0782145782145782,0.0082212257100149,-0.0202546296296296,0.1259887005649718,-236.0,-382.0,55.0,-105.0,223.0,0.0145908543922962,-0.0797999047165126,0.1841948900771335,6694.333333333333,1815.3333333333333,1.1670139501492705,0.0,0.0,0.0,False,,False
Odisha,2018,738.0,1089.0,1827.0,4006.0,4527.0,521.0,6675.0,5095.0,8756.0,10336.0,1.1300549176232826,0.1300549176235322,0.2737078651684983,0.1631460674157059,0.7632958801496983,1.5484644194754231,0.0370178617654672,0.0055530875166591,-0.0103780578206078,0.003150226422524,-0.0832915203211239,143.0,25.0,-70.0,16.0,-166.0,0.0040613718411546,-0.0457360647927475,0.0855614973261523,6703.333333333333,1863.3333333333333,1.1623268407466727,0.0,0.0,0.0,False,,False
Odisha,2019,705.0,1055.0,1760.0,4102.0,4670.0,568.0,6699.0,5157.0,8082.0,9624.0,1.1384690394926529,0.1384690394928965,0.26272577996712,0.157486191968927,0.7698163905059308,1.4366323331838429,0.0239640539191212,0.0315882482880494,0.0035955056179775,0.0121687929342493,-0.0366721401204159,96.0,143.0,24.0,62.0,-67.0,0.0076714801444031,-0.0228680323963737,0.0457516339869009,6706.333333333333,1860.0,1.144646479104124,0.0,0.0,0.0,False,,False
Odisha,2020,672.0,986.0,1658.0,4179.0,4819.0,640.0,6654.0,5165.0,8240.0,9729.0,1.1531466858097263,0.1531466858099657,0.2491734295160431,0.1481815449353549,0.7762248271715094,1.4621280432820165,0.0187713310580204,0.0319057815845824,-0.0067174205105239,0.0015512895094047,-0.0579545454545454,77.0,149.0,-45.0,8.0,-102.0,0.0009025270758121,-0.0045259647451156,-0.0148544266191236,6676.0,1748.3333333333333,1.1405568809752205,0.0,0.0,0.0,False,,False
Odisha,2021,688.0,943.0,1632.0,4322.0,4997.0,676.0,6782.0,5265.0,8063.0,9580.0,1.1561776955110696,0.1564090698750216,0.240636980241781,0.1390445296372546,0.7763196697138341,1.412562665880063,0.0342187126106723,0.0369371238846234,0.0192365494439434,0.0193610842207163,-0.0156815440289505,143.0,178.0,128.0,100.0,-26.0,0.020156438026471,0.0295378751786494,-0.0303030303030122,6711.666666666667,1683.3333333333333,1.149264473604483,0.0,0.0,0.0,False,,False
Odisha,2022,704.0,908.0,1613.0,4269.0,5014.0,745.0,6742.0,5178.0,8199.0,9763.0,1.1745139376900504,0.1745139376902847,0.2392465143873866,0.1346781370513001,0.7680213586471717,1.4480866211804435,-0.0122628412771864,0.0034020412247348,-0.0058979652020053,-0.0165242165242165,-0.011642156862745,-53.0,17.0,-40.0,-87.0,-19.0,0.0141395908543901,0.0169128156264847,-0.0415923945335462,6726.0,1634.3333333333333,1.161279439670282,0.0,0.0,0.0,False,,False
Odisha,2023,701.0,903.0,1604.0,4307.0,5168.0,861.0,6724.0,5211.0,8156.0,9669.0,1.199907127930996,0.1999071279312282,0.2385484830457706,0.1342950624627997,0.7749851278999442,1.4379833432478526,0.0089013820566876,0.0307140007977662,-0.0026698309107089,0.0063731170336036,-0.0055796652200867,38.0,154.0,-18.0,33.0,-9.0,0.0114320096269537,0.025964745116716,-0.0469399881164308,6749.333333333333,1616.3333333333333,1.1768662537107053,0.0,0.0,0.0,False,,False
Odisha,2024,678.0,814.0,1492.0,4358.0,5260.0,902.0,6688.0,5172.0,4884.0,6399.0,1.2069756769157394,0.206975676915969,0.2230861244018805,0.1217105263157712,0.773325358851559,0.9567882775118186,0.0118411887624796,0.0178018575851393,-0.0053539559785841,-0.0074841681059297,-0.0698254364089775,51.0,92.0,-36.0,-39.0,-112.0,0.0060168471720809,0.0381133873272896,-0.1134878193701048,6718.0,1569.6666666666667,1.1937989141789285,0.0,0.0,0.0,False,,False
Puducherry,2015,3.0,5.0,8.0,15.0,26.0,11.0,29.0,20.0,20.0,28.0,1.7333333332177778,0.7333333332844444,0.2758620689560047,0.1724137930975029,0.6896551723900118,0.9655172413460168,,,,,,,,,,,0.0,0.0,0.0,29.0,8.0,1.7333333332177778,0.0,0.0,0.0,False,,False
