state,year,raw_values,pdf_page,y_position
Sikkim,2020,5|7|12|77|140|63|97|84|344|357,152,477.14
Sikkim,2021,5|7|12|77|140|63|97|84|344|357,152,485.9
Sikkim,2022,6|3|9|83|139|56|103|86|387|405,152,494.66
Sikkim,2023,6|3|9|83|139|56|103|86|387|405,152,503.42
Sikkim,2024,5|4|9|88|111|23|110|92|206|224,152,512.18
Tamil Nadu,2015,1729|989|2718|4833|6074|1241|8110|5822|4923|7211,152,529.7
Tamil Nadu,2016,1848|1361|3208|4347|5129|782|8110|5708|4923|7325,152,538.46
Tamil Nadu,2017,1933|992|2925|4639|5730|1091|8110|5630|4923|7403,152,547.22
Tamil Nadu,2018,1931|1047|2978|4582|5672|1090|8109|5630|4924|7403,152,555.98
Tamil Nadu,2019,1906|920|2827|4738|5942|1204|8108|5659|4925|7374,152,564.74
Tamil Nadu,2020,1865|893|2758|4833|6156|1322|8106|5726|4927|7307,152,573.5
Tamil Nadu,2021,1864|800|2664|4909|6348|1439|8105|5709|4928|7324,152,582.26
Tamil Nadu,2022,1905|858|2763|4838|6419|1582|8105|5695|4928|7338,152,591.02
Tamil Nadu,2023,1866|961|2827|4756|6117|1360|8104|5718|4929|7316,152,599.78
Tamil Nadu,2024,1899|856|2755|4827|6225|1399|8104|5683|4929|7351,152,608.54
Telangana,2015,822|1578|2400|4175|4893|719|6870|5753|4338|5455,152,626.06
Telangana,2016,669|1015|1684|4774|5970|1196|6752|5789|4456|5418,152,634.82
Telangana,2017,662|916|1578|4898|6059|1161|6770|5814|4438|5394,152,643.58
Telangana,2018,751|1064|1815|4660|5774|1115|6767|5724|4441|5484,152,652.34
Telangana,2019,566|444|1010|5500|7479|1978|6785|5944|4423|5263,152,661.1
Telangana,2020,379|210|589|5927|8479|2553|6717|6137|4491|5071,152,669.86
Telangana,2021,344|553|896|5625|8026|2401|6715|6178|4493|5030,152,678.62
Telangana,2022,315|333|648|5897|9278|3382|6735|6230|4473|4978,152,687.38
Telangana,2023,283|692|975|5564|8486|2921|6728|6256|4480|4951,152,696.14
Telangana,2024,291|631|922|5618|8931|3313|6728|6249|4480|4959,152,704.9
Tripura,2015,2|1|3|255|486|230|272|257|777|793,153,144.26
Tripura,2016,2|1|2|255|491|235|271|256|778|793,153,153.02
Tripura,2017,2|1|2|255|487|232|271|256|778|793,153,161.78
Tripura,2018,1|1|2|256|487|231|270|257|779|793,153,170.54
Tripura,2019,1|1|2|255|487|232|270|256|779|793,153,179.3
Tripura,2020,1|1|2|255|487|232|270|256|779|793,153,188.06
Tripura,2021,1|1|2|255|487|231|270|256|779|793,153,196.82
Tripura,2022,1|1|2|255|485|230|269|256|780|794,153,205.58
Tripura,2023,1|1|2|255|483|228|269|256|780|794,153,214.34
Tripura,2024,1|1|2|253|479|226|267|254|782|796,153,223.1
Uttar Pradesh,2015,547|1161|1708|16469|26203|9734|18863|17630|5307|6541,153,341.66
Uttar Pradesh,2016,520|1090|1610|16564|26949|10385|18848|17654|5323|6516,153,350.42
Uttar Pradesh,2017,552|1061|1613|16542|26864|10322|18826|17602|5344|6568,153,359.18
Uttar Pradesh,2018,594|987|1581|16538|26859|10321|18775|17524|5395|6646,153,367.94
Uttar Pradesh,2019,618|992|1610|16368|27109|10741|18614|17360|5557|6811,153,376.7
Uttar Pradesh,2020,618|992|1610|16368|27109|10741|18614|17360|5557|6811,153,385.46
