type,page,state,year,values
numeric,153,,,2020|-21|6|259|265|5282|10207|4925|5602|5541|3082|3143
numeric,153,,,2021|-22|6|254|260|5281|10259|4978|5595|5535|3089|3149
numeric,153,,,2022|-23|6|314|320|5216|9974|4758|5589|5529|3095|3155
numeric,153,,,2023|-24|6|278|284|5245|10133|4887|5583|5524|3101|3161
numeric,153,,,2024|-25|6|244|250|5274|10683|5410|5577|5518|3107|3166
numeric,153,,,2015|-16|3|3|6|15|48|33|28|17|730|740
numeric,153,,,2016|-17|3|3|6|15|44|30|28|17|730|740
numeric,153,,,2017|-18|3|3|6|15|49|34|28|17|730|740
numeric,153,,,2018|-19|3|3|6|15|41|26|28|17|730|740
numeric,153,,,2019|-20|3|3|6|15|46|31|28|17|687|697
numeric,153,,,2020|-21|3|3|6|15|40|25|28|17|687|697
numeric,153,,,2021|-22|3|3|6|15|39|25|28|17|687|697
numeric,153,,,2022|-23|3|3|6|15|39|25|28|17|687|697
numeric,153,,,2023|-24|4|1|4|10|16|6|22|11|693|704
numeric,153,,,2024|-25|4|1|5|11|16|6|23|12|736|748
numeric,153,,,2015|-16|0|0|0|1|1|0|1|1|6|6
numeric,153,,,2016|-17|0|0|0|1|1|0|1|1|6|6
numeric,153,,,2017|-18|0|0|0|1|2|1|1|1|6|6
numeric,153,,,2018|-19|0|0|0|1|1|0|1|1|6|6
numeric,153,,,2019|-20|0|0|0|1|3|1|1|1|8|8
numeric,153,,,2020|-21|0|0|0|1|2|1|1|1|8|8
numeric,153,,,2021|-22|0|0|0|1|2|1|1|1|8|8
numeric,153,,,2022|-23|0|0|0|1|2|1|1|1|8|8
numeric,153,,,2023|-24|0|0|0|1|1|0|1|1|8|8
numeric,153,,,2024|-25|0|0|0|1|2|1|1|1|6|6
numeric,154,,,1|12|13|14|15|16|17|18|19|20|21
numeric,154,,,2019|-20|0|0|0|23|23|0|23|23|24|25
numeric,154,,,2020|-21|0|0|0|23|23|0|23|23|24|25
numeric,154,,,2021|-22|0|0|0|23|23|0|23|23|24|25
numeric,154,,,2022|-23|1|0|1|21|21|0|22|21|34|35
numeric,154,,,2023|-24|1|0|1|21|21|0|22|22|34|34
numeric,154,,,2024|-25|0|0|0|21|21|0|22|21|33|33
numeric,154,,,2015|-16|2|2|4|19|23|5|24|21|25|28
numeric,154,,,2016|-17|2|2|5|19|23|4|24|21|25|28
numeric,154,,,2017|-18|2|2|4|19|23|4|24|21|25|28
numeric,154,,,2018|-19|0|0|0|20|20|0|20|20|24|24
numeric,154,,,2015|-16|0|0|0|3|3|0|3|3|0|0
numeric,154,,,2016|-17|0|0|0|3|3|0|3|3|0|0
numeric,154,,,2017|-18|0|0|0|3|3|0|3|3|0|0
numeric,154,,,2018|-19|0|0|0|3|3|0|3|3|0|0
numeric,154,,,2015|-16|8|12|20|22|58|37|53|34|95|114
numeric,154,,,2016|-17|8|12|20|22|57|35|53|34|95|114
numeric,154,,,2017|-18|8|12|20|22|59|37|53|34|95|114
numeric,154,,,2018|-19|8|12|20|22|59|37|53|34|95|114
numeric,154,,,2019|-20|8|12|20|22|58|36|53|34|113|132
numeric,154,,,2020|-21|8|12|20|22|58|37|53|34|113|132
numeric,154,,,2021|-22|8|12|20|22|58|37|53|34|113|132
